id,barcode,name,price,category,category_id,image_url
40757,7798130192339,papas fritas zyma x 104 gm chile y lima,"3.790,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40757.jpg?v=618
40753,7798130192292,papas fritas zyma x 104 gm original,"3.790,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40753.jpg?v=618
40756,7798130192322,papas fritas zyma x 104 gm sabor barbacoa,"3.790,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40756.jpg?v=618
40755,7798130192308,papas fritas zyma x 104 gm sabor cebolla y crema,"3.790,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40755.jpg?v=618
40754,7798130192315,papas fritas zyma x 104 gm sabor queso,"3.790,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40754.jpg?v=618
28978,7790310986813,papas lays provoleta x 77 gr.,"3.649,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/28978.jpg?v=618
19550,7790310988220,papas lays sabor asado x 77 gm,"2.399,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/19550.jpg?v=618
20595,7790310985618,papas lays x122gr.jamon serran,"5.118,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/20595.jpg?v=618
20594,7790310985434,papas lays x77gr.jamon serrano,"2.399,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/20594.jpg?v=618
20601,7790310985458,papas lays x85gr.clasicas,"2.399,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/20601.jpg?v=618
10314,7790310983553,papas pehuamar acanaladas x 230 gm,"5.974,96",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/10314.jpg?v=618
20604,7790310985441,papas pehuamar x135gr.acanalad,"3.697,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/20604.jpg?v=618
20605,7790310985366,papas pehuamar x135gr.clasica,"3.697,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/20605.jpg?v=618
30439,7896004009193,papas pringles crema y cebolla x 39 gr.,"2.460,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/30439.jpg?v=618
35033,7790681102560,pasas de uva la egipciana x 80 gr.,"2.101,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/35033.jpg?v=618
9102,7794513000093,pasas de uva sin semillas la nueva estrella x 100.,"1.366,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/9102.jpg?v=618
31267,7798130190120,pasas de uva sin semillas zyma x 150 gr.,"2.692,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/31267.jpg?v=618
13817,7798130191448,pasas de uva sin semillas zyma x 300 gr.,"3.584,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/13817.jpg?v=618
5432,7793551000591,pasta de aceitunas negras marvavic x 300 gr.,"3.937,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/5432.jpg?v=618
26474,7793551003004,pasta de aceitunas verdes marvavic x 280 gr.,"2.140,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/26474.jpg?v=618
5420,7793551000584,pasta de aceitunas verdes marvavic x 300 gr.,"3.937,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/5420.jpg?v=618
10305,7794000009547,pasta knorr x 200 gm mc and cheese,"4.038,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/10305.jpg?v=618
10303,7794000009516,pasta knorr x 200 gm pesto,"4.038,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/10303.jpg?v=618
10304,7794000009523,pasta knorr x 200 gm sabor hongos,"4.038,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/10304.jpg?v=618
40333,78600010,pastillas tic tac menta x 16 gr.,"699,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40333.jpg?v=618
40332,7797394001265,pastillas tic tac mix de frutas x 16 gr.,"699,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40332.jpg?v=618
40334,78600027,pastillas tic tac naranja x 16 gr.,"699,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40334.jpg?v=618
45729,7790079011085,pate de foie paladini untable x 90 gr.,"1.232,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/45729.jpg?v=618
10412,7790360720382,pate de foie swift,"1.453,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/10412.jpg?v=618
17452,7790360965721,pate de foie swift con pimienta verde x 85 gr.,"1.579,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/17452.jpg?v=618
582,7790360964540,pate de foie swift pollox85gr,"1.579,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/582.jpg?v=618
23146,7790360965714,pate de foie tipo provenzal swift x 85 gr.,"1.579,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/23146.jpg?v=618
893,7790360964526,pate swift a la crema x88gr.,"1.482,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/893.jpg?v=618
40809,7790360984715,pate swift jalapeao x 90 gm,"1.441,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40809.jpg?v=618
59691,7793551000171,pepinillos en vinagre marvavic x 100 gr.,"2.274,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/59691.jpg?v=618
38126,7793551000362,pepinillos en vinagre marvavic x 200 gr.,"4.781,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/38126.jpg?v=618
23036,7793551000515,pepinos agridulces marvavic x 200 gr.,"7.307,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/23036.jpg?v=618
14603,7798132920428,peras en mitades alco x 820 gr.,"3.152,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/14603.jpg?v=618
15022,7790150545287,perejil alicante x25gr.,"1.783,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/15022.jpg?v=618
40548,763571807347,pesto viridian x 200 gm clasico,"11.404,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40548.jpg?v=618
40547,763571807330,pesto viridian x 200 ml mediterraneo,"11.181,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40547.jpg?v=618
10405,7790360720115,picadillo carne swift 90,"1.453,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/10405.jpg?v=618
2519,7790360966582,picadillo de carne swift sabor picante x 90 gr.,"1.304,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/2519.jpg?v=618
40808,7790360984302,picadillo swift picante chile x 90 gm,"1.441,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40808.jpg?v=618
11321,7793551001505,pickles en vinagre marvavic x 150 gr.,"2.440,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/11321.jpg?v=618
37761,7793551000232,pickles en vinagre marvavic x 200 gr.,"4.280,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/37761.jpg?v=618
10719,7793551000249,pickles en vinagre marvavic x 420 gr.,"6.801,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/10719.jpg?v=618
41477,7793551000621,pickles mixtos en vinagre marvavic x 100 gr.,"1.673,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/41477.jpg?v=618
24302,7792070002321,pickles mixtos en vinagre nucete x 300 gr.,"2.592,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/24302.jpg?v=618
20445,7790127742183,pickles mixtos vanoli x 300 gr.,"2.523,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/20445.jpg?v=618
70012,7792070000686,pickles nucete en vinagre frasco x 220 gr.,"4.482,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/70012.jpg?v=618
14447,7790150565735,pimenton alicante x 50 gr.,"1.479,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/14447.jpg?v=618
14446,7790150564844,pimenton alicante x25gr.,"1.061,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/14446.jpg?v=618
12972,7790580136246,pimenton dce.la camp.x23gr.,"979,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/12972.jpg?v=618
15024,7790150565469,pimenton dulce alicante x 200 gr.,"5.942,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/15024.jpg?v=618
15023,7790150551363,pimien.alican.x25gr.bca.gno ni,"2.009,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/15023.jpg?v=618
14363,7790150556368,pimien.alican.x25gr.ngra.grano,"1.602,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/14363.jpg?v=618
14362,7790150555446,pimien.alican.x25gr.ngra.molid,"1.561,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/14362.jpg?v=618
11693,7790150550465,pimien.alican.x50gr.bca.molida,"3.967,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/11693.jpg?v=618
17285,7790150551745,pimient.alican.x45g.bca.grano,"7.951,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/17285.jpg?v=618
19971,33844606558,pimienta badia lima x 184.3 gm,"12.591,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/19971.jpg?v=618
36640,33844006709,pimienta badia limon x 184.3 gr,"12.591,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/36640.jpg?v=618
11692,7790150550588,pimienta blanca alicante x 25 gr.,"2.203,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/11692.jpg?v=618
17943,7790580136116,pimienta blanca en grano la campagnola x 25 gr.,"1.559,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/17943.jpg?v=618
15247,7792900009247,pimienta blanca en granos dos anclas x 50 gr.,"4.318,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/15247.jpg?v=618
32113,7798168320629,pimienta blanca molida liberato x 55 gr.,"8.798,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/32113.jpg?v=618
16162,7790580136079,pimienta la campag.neg.molx23g,"1.299,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/16162.jpg?v=618
15710,7790150556740,pimienta negra en grano alicante x 45 gr.,"7.363,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/15710.jpg?v=618
32097,7798168320582,pimienta negra liberato x 55 gr.,"6.932,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/32097.jpg?v=618
19839,7793551003325,pimientos pelados marvavic x 330 gm,"8.858,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/19839.jpg?v=618
31322,7798130190052,pistachos con cascara zyma x 150 gr.,"13.375,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/31322.jpg?v=618
35010,7790681102454,pistachos l.egip.x80gr.salados,"8.225,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/35010.jpg?v=618
35733,7798371600624,pita chips almadre cebolla x 115 gr.,"2.497,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/35733.jpg?v=618
